unit,tenant,move_out_date,deposit_held,unpaid_rent,cleaning,damages
101,Ava Bennett,2026-05-31,1500.00,0.00,0.00,0.00
102,Liam Carter,2026-06-05,1800.00,0.00,150.00,250.00
103,Maya Singh,2026-06-10,1650.00,1650.00,0.00,0.00
104,Noah Diaz,2026-06-12,2000.00,1500.00,300.00,500.00
105,Priya Kaur,2026-06-01,1400.00,,,
101,Duplicate Tenant,2026-06-01,1000.00,0.00,0.00,0.00
113,Short Row,2026-06-01,1000.00,0.00,0.00
114,Extra Row,2026-06-01,1000.00,0.00,0.00,0.00,EXTRA
115,Bad Money,2026-06-01,oops,0.00,0.00,0.00
116,Bad Date,06/01/2026,1000.00,0.00,0.00,0.00
